rule_id,tier,truth_group,wn_min,wn_max,chem_n_pos,chem_sens,chem_spec,chem_LR_pos,chem_LR_pos_boot_lo,chem_LR_pos_boot_hi,chem_LR_neg,chem_LR_pos_position_only,chem_underpowered,nist_n,nist_n_pos,nist_sens,nist_spec,nist_LR_pos,nist_LR_pos_boot_lo,nist_LR_pos_boot_hi,nist_LR_neg,nist_LR_pos_position_only,nist_underpowered,ratio_LR_pos_nist_over_chem
SMITH-BR8-AMN1-AR-ASYM,group,amine_primary_aromatic,3420.0,3500.0,61,0.639,0.906,6.8,4.64,10.75,0.4,6.8,False,5124,361,0.485,0.84,3.03,1.81,4.11,0.61,3.03,False,0.45
SMITH-BR8-AMN1-SAT-SYM,group,amine_primary_saturated,3280.0,3310.0,13,0.385,0.889,3.47,0.69,5.78,0.69,3.47,False,5124,111,0.198,0.928,2.74,0.65,4.03,0.86,2.74,False,0.79
SMITH-BR8-AMN1-AR-SYM,group,amine_primary_aromatic,3340.0,3420.0,61,0.721,0.801,3.63,2.57,4.81,0.35,3.63,False,5124,361,0.634,0.79,3.02,2.33,3.5,0.46,3.02,False,0.83
SMITH-BR8-AMN1-SCIS,group,amine_primary,1580.0,1650.0,76,0.895,0.129,1.03,0.94,1.11,0.81,1.03,False,5124,490,0.963,0.338,1.45,1.21,1.86,0.11,1.45,False,1.41
SMITH-BR8-AMN1-SAT-CN,group,amine_primary_saturated,1020.0,1250.0,13,1.0,0.002,0.97,0.89,0.99,15.58,0.97,False,5124,111,1.0,0.01,1.01,0.97,1.02,0.43,1.01,False,1.04
SMITH-BR8-AMN1-AR-CN,group,amine_primary_aromatic,1250.0,1350.0,61,0.951,0.059,1.01,0.95,1.07,0.84,1.01,False,5124,361,0.978,0.092,1.08,1.01,1.14,0.24,1.08,False,1.07
SMITH-BR8-AMN1-WAG,group,amine_primary,750.0,850.0,76,0.947,0.018,0.96,0.93,1.01,2.96,0.96,False,5124,490,0.957,0.124,1.09,1.02,1.18,0.35,1.09,False,1.14
SMITH-BR8-AMN2-SAT-NH,group,amine_secondary_saturated,3280.0,3320.0,24,0.125,0.865,0.92,0.19,2.25,1.01,0.92,False,5124,74,0.405,0.905,4.27,2.85,5.38,0.66,4.27,False,4.64
SMITH-BR8-AMN2-AR-NH,group,amine_secondary_aromatic,3380.0,3420.0,60,0.283,0.879,2.34,1.21,3.66,0.82,2.34,False,5124,191,0.241,0.876,1.94,1.23,2.51,0.87,1.94,False,0.83
SMITH-BR8-AMN2-SAT-CNC,group,amine_secondary_saturated,1130.0,1180.0,24,1.0,0.11,1.1,1.04,1.14,0.18,1.1,False,5124,74,0.73,0.262,0.99,0.89,1.12,1.03,0.99,False,0.9
SMITH-BR8-AMN2-AR-CNC,group,amine_secondary_aromatic,1250.0,1350.0,60,0.983,0.06,1.05,1.0,1.07,0.28,1.05,False,5124,191,0.984,0.09,1.08,1.03,1.16,0.17,1.08,False,1.03
SMITH-BR8-AMN2-WAG,group,amine_secondary,700.0,750.0,85,0.965,0.108,1.08,1.02,1.13,0.33,1.08,False,5124,281,0.722,0.304,1.04,0.95,1.1,0.91,1.04,False,0.96
SMITH-BR8-NH-ANY,class,n_h_any,3300.0,3500.0,324,0.602,0.683,1.9,1.61,2.37,0.58,1.9,False,5124,1420,0.762,0.662,2.25,1.72,2.6,0.36,2.25,False,1.18
SMITH-ALD17-SAT-CO,group,aldehyde_saturated,1720.0,1740.0,3,0.0,0.928,1.72,,,0.94,0.51,True,5124,18,0.611,0.904,6.34,2.46,9.95,0.43,5.51,False,3.69
SMITH-ALD17-AR-CO,group,aldehyde_aromatic,1685.0,1710.0,64,0.156,0.894,1.47,0.65,3.95,0.94,1.6,False,5124,44,0.273,0.908,2.97,0.72,4.0,0.8,2.37,False,2.02
SMITH-ALD17-CH-STR,group,aldehydes,2700.0,2850.0,68,0.603,0.714,2.11,1.55,2.97,0.56,2.11,False,5124,72,0.694,0.795,3.39,2.72,3.87,0.38,3.39,False,1.61
SMITH-ALD17-CH-BEND,group,aldehydes,1380.0,1400.0,68,0.588,0.579,1.4,1.14,2.18,0.71,1.4,False,5124,72,0.597,0.571,1.39,0.91,1.7,0.71,1.39,False,0.99
SMITH-ALK16-CH-STR,class,alkene,3000.0,3100.0,228,0.575,0.395,0.95,0.78,1.11,1.08,0.95,False,5124,618,0.447,0.64,1.24,0.85,1.66,0.86,1.24,False,1.31
SMITH-ALK16-CC-STR,class,alkene,1630.0,1680.0,228,0.566,0.552,1.26,0.99,1.56,0.79,1.26,False,5124,618,0.597,0.718,2.12,1.6,2.51,0.56,2.12,False,1.68
SMITH-ALK16-VINYL-CC,group,alkene_vinyl,1630.0,1660.0,34,0.765,0.688,2.45,2.06,2.98,0.34,2.45,False,5124,91,0.736,0.786,3.43,1.44,4.07,0.34,3.43,False,1.4
SMITH-ALK16-VINYL-WAG1,group,alkene_vinyl,985.0,995.0,34,0.353,0.837,2.17,0.84,3.8,0.77,2.17,False,5124,91,0.527,0.869,4.03,2.75,5.26,0.54,4.03,False,1.86
SMITH-ALK16-VINYL-WAG2,group,alkene_vinyl,905.0,915.0,34,0.382,0.74,1.47,0.61,2.34,0.84,1.47,False,5124,91,0.264,0.835,1.6,1.24,2.38,0.88,1.6,False,1.09
SMITH-ALK16-TRISUB-CC,group,alkene_trisubstituted,1660.0,1680.0,41,0.415,0.806,2.13,0.69,3.29,0.73,2.13,False,5124,158,0.361,0.877,2.93,1.89,3.87,0.73,2.93,False,1.38
SMITH-ALK16-TRISUB-WAG,group,alkene_trisubstituted,790.0,840.0,41,0.927,0.16,1.1,0.97,1.2,0.46,1.1,False,5124,158,0.747,0.338,1.13,0.93,1.32,0.75,1.13,False,1.03
SMITH-ALY17-TERM-CH,group,alkyne_terminal,3250.0,3350.0,23,0.87,0.772,3.81,3.0,4.63,0.17,3.81,False,5124,23,0.957,0.786,4.48,3.82,5.14,0.06,4.48,False,1.18
SMITH-ALY17-TERM-CC,group,alkyne_terminal,2100.0,2140.0,23,0.696,0.74,2.68,1.67,3.56,0.41,2.68,False,5124,23,0.348,0.971,11.91,4.71,16.02,0.67,11.91,False,4.44
SMITH-ALY17-INT-CC,group,alkyne_internal,2190.0,2260.0,79,0.785,0.771,3.42,2.68,4.18,0.28,3.42,False,5124,9,0.333,0.943,5.88,,,0.71,5.88,True,1.72
SMITH-ALY17-TERM-CH-BEND,group,alkyne_terminal,600.0,700.0,23,0.913,0.159,1.09,0.91,1.19,0.55,1.09,False,1664,1,1.0,0.42,1.29,,,0.59,1.29,True,1.18
SMITH-NIT19-SAT-CN,group,nitrile_saturated,2240.0,2260.0,3,0.0,1.0,384.25,,,0.88,12.87,True,5124,94,0.032,1.0,160.53,15.99,603.1,0.97,31.93,False,0.42
SMITH-NIT19-AR-CN,group,nitrile_aromatic,2220.0,2240.0,69,0.058,1.0,189.13,28.3,390.32,0.94,10.09,False,5124,33,0.061,0.999,61.71,13.68,337.73,0.94,28.22,False,0.33
SMITH-NO2-20-ASYM,group,nitro,1500.0,1550.0,50,0.82,0.845,5.29,4.07,7.11,0.21,1.64,False,5124,388,0.608,0.852,4.1,2.98,6.79,0.46,2.2,False,0.78
SMITH-NO2-20-SYM,group,nitro,1330.0,1390.0,50,0.72,0.846,4.66,3.54,6.27,0.33,1.14,False,5124,388,0.753,0.852,5.08,3.66,6.06,0.29,1.17,False,1.09
SMITH-NO2-20-SCIS,group,nitro,835.0,890.0,50,0.9,0.432,1.58,1.32,1.81,0.23,1.06,False,5124,388,0.549,0.686,1.75,1.25,2.05,0.66,1.23,False,1.11
SMITH-BR4-BZ-MONO-BOTH,group,aromatic_mono,710.0,770.0,344,0.892,0.545,1.96,1.74,2.23,0.2,1.96,False,5109,924,0.841,0.772,3.69,2.92,4.79,0.21,3.69,False,1.88
SMITH-BR4-BZ-META-BOTH,group,aromatic_meta,750.0,810.0,42,0.738,0.473,1.4,1.06,1.69,0.55,1.4,False,5109,141,0.652,0.679,2.03,1.6,3.34,0.51,2.03,False,1.45
