file_id,analysis_id,sample_id,inchikey,smiles_canonical,instrument,x_min,x_max,n_points,resolution,is_multifragment,has_unusual_elements,sampling_procedure,split,x_min_cm,x_max_cm
C26292671_0,C26292671_0,C26292671,NMKVEOZMNCIUQW-UHFFFAOYSA-N,CCCC(c1cc(C2(C)CCCCC2)c(O)cc1C)c1cc(C2(C)CCCCC2)c(O)cc1C,"Not specified, most likely a prism, grating, or hybrid spect",625.3243870257696,4933.399111988159,2043,4,False,False,TRANSMISSION,confirm,626.0,4000.0
C26292739_0,C26292739_0,C26292739,CAHSZBPNBIEERN-UHFFFAOYSA-N,Cc1cc(O)c(C(C)(C)CC(C)(C)C)cc1Cc1cc(C(C)(C)CC(C)(C)C)c(O)cc1C,"Not specified, most likely a prism, grating, or hybrid spect",625.8057248707711,4882.8125,2035,4,False,False,TRANSMISSION,confirm,626.0,4000.0
C26307017_0,C26307017_0,C26307017,CFLUYJQBWLZVDH-UHFFFAOYSA-N,ClN(Cl)C1CCCCC1,"Not specified, most likely a grating spectrometer.",627.3525721455458,10070.493454179255,2241,4,False,False,TRANSMISSION,confirm,628.0,4000.0
C26392494_0,C26392494_0,C26392494,JNWRGTDFPPYRAD-UHFFFAOYSA-N,CCCCC(CC)CN.Cl,PERKIN-ELMER 157,668.0,4000.0,3333,2,True,False,TRANSMISSION,confirm,668.0,4000.0
C2641012_0,C2641012_0,C2641012,LIIDWKDFORMMDQ-UHFFFAOYSA-N,CCCN(CCC)c1ccc(N=Nc2ccccc2C(=O)O)cc1,"Not specified, most likely a prism, grating, or hybrid spect",625.0,4938.271604938272,2261,4,False,False,TRANSMISSION,confirm,626.0,4000.0
C2645365_0,C2645365_0,C2645365,UICIJOHWFFTRLI-UHFFFAOYSA-N,O=C(Nc1ccccc1)N1CCCCC1,"Not specified, most likely a prism, grating, or hybrid spect",666.875,3977.19,3532,4,False,False,TRANSMISSION,confirm,668.0,3976.0
C26461687_0,C26461687_0,C26461687,CRZSQVTUTVJLNH-UHFFFAOYSA-N,CNc1ccc(C(C)(C)C)cc1C(C)(C)C,BECKMAN IR-4 (HYBRID PRISM-GRATING),625.0,4000.0,3376,2,False,False,TRANSMISSION,confirm,626.0,4000.0
C26533368_1,C26533368_1,C26533368,QXYWIOWTBOREMG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(C)O,DOW KBr FOREPRISM-GRATING,459.0,3802.0,3344,2,False,False,TRANSMISSION,confirm,460.0,3802.0
C26536878_0,C26536878_0,C26536878,XIXDXIUWZQJVHJ-UHFFFAOYSA-M,C=C(C)C(=O)OCC[N+](C)(C)C.[I-],PERKIN-ELMER 221 (GRATING),665.693,3999.84,2735,4,True,False,TRANSMISSION,confirm,666.0,3998.0
C2654582_0,C2654582_0,C2654582,SJSJAWHHGDPBOC-UHFFFAOYSA-N,CC1(C)CN(c2ccccc2)NC1=O,"Not specified, most likely a prism, grating, or hybrid spect",630.00063000063,4948.045522018803,1972,4,False,False,TRANSMISSION,confirm,632.0,4000.0
C2655278_0,C2655278_0,C2655278,UMNSMBWAESLVOC-UHFFFAOYSA-N,CCCCCNc1ccccc1,"Not specified, most likely a grating spectrometer.",650.3261385584872,4904.364884747425,1985,4,False,False,TRANSMISSION,confirm,652.0,4000.0
C2655461_0,C2655461_0,C2655461,GCYDZZBQYRCILB-UHFFFAOYSA-N,CC(=O)N1C(=O)CCN1c1ccccc1,"Not specified, most likely a prism, grating, or hybrid spect",624.5199003266239,4945.598417408507,1989,4,False,False,TRANSMISSION,confirm,626.0,4000.0
C2655483_0,C2655483_0,C2655483,BPNPRBBKUKZUCD-UHFFFAOYSA-N,CC(=O)N1C(=O)C(C)CN1c1ccccc1,"Not specified, most likely a prism, grating, or hybrid spect",624.5277009261746,4904.364884747425,1982,4,False,False,TRANSMISSION,confirm,626.0,4000.0
C26595277_0,C26595277_0,C26595277,HWZVGGMEXHEECA-UHFFFAOYSA-N,CC(C)(C(=O)Oc1ccccc1)C(=O)Oc1ccccc1,"Not specified, most likely a prism, grating, or hybrid spect",625.8135576249124,4965.24329692155,2046,4,False,False,TRANSMISSION,confirm,626.0,4000.0
C26644973_0,C26644973_0,C26644973,FHMJPVBAIBOEGN-UHFFFAOYSA-N,CC(=O)Nc1ccc(N=Nc2ccc(O)c3ncccc23)cc1.Cl,"Not specified, most likely a prism, grating, or hybrid spect",625.0,4935.834155972359,2111,4,True,False,TRANSMISSION,confirm,626.0,4000.0
C26658195_0,C26658195_0,C26658195,NBIZFEQHLSJRPG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCCCCCCCCCC)C1OCC(OC(=O)CCCCCCCCCCCCCCCCC)C1O,BAIRD (PRISM),625.1406566477458,4990.0199600798405,2866,4,False,False,TRANSMISSION,confirm,626.0,4000.0
C2678888_0,C2678888_0,C2678888,LQKYSTYAPQKETJ-UHFFFAOYSA-N,CCCCOC(=O)Nc1ccc(N=Nc2ccccc2)cc1,"Not specified, most likely a grating spectrometer.",665.8365903839879,4918.839153959666,1960,4,False,False,TRANSMISSION,confirm,666.0,4000.0
C2680037_1,C2680037_1,C2680037,YLGYACDQVQQZSW-UHFFFAOYSA-N,C=CC(=O)N(C)C,PERKIN-ELMER 521 (GRATING),312.537,3906.13,3781,4,False,False,TRANSMISSION,confirm,400.0,3906.0
C26820622_0,C26820622_0,C26820622,FYJXIPHXFGFEGT-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(N2CCOCC2)nc1,DOW FOREPRISM-GRATING,386.0,3800.0,3415,2,False,False,,confirm,400.0,3800.0
C2683434_1,C2683434_1,C2683434,IZEZAMILKKYOPW-UHFFFAOYSA-N,Nc1c(Cl)cc(Cl)cc1[N+](=O)[O-],BECKMAN IR-9 (GRATING),408.0,3800.0,3393,2,False,False,TRANSMISSION,confirm,408.0,3800.0
C2686728_0,C2686728_0,C2686728,LKGYJXCGRGDDIA-UHFFFAOYSA-N,Fc1cc(F)c2[nH]cnc2c1F,PERKIN-ELMER 21 (GRATING),599.98,4019.99,3403,2,False,False,TRANSMISSION,confirm,600.0,4000.0
C2687129_2,C2687129_2,C2687129,IWTYTFSSTWXZFU-QPJJXVBHSA-N,ClC/C=C/c1ccccc1,PERKIN-ELMER 521 (GRATING),407.018,3994.0,3579,4,False,False,TRANSMISSION,confirm,408.0,3994.0
C2689885_0,C2689885_0,C2689885,MYZCCWFBKBDURM-UHFFFAOYSA-N,C#CCC(CC#C)(C(=O)OCC)C(=O)OCC,PERKIN-ELMER,648.1679532800539,4828.585224529213,1994,4,False,False,TRANSMISSION,confirm,650.0,4000.0
C26901973_1,C26901973_1,C26901973,SFQDKASLZODHCY-UHFFFAOYSA-N,CCCCCCCSCCO,BECKMAN IR-9 (GRATING),404.0,3800.0,3397,2,False,False,TRANSMISSION,confirm,404.0,3800.0
C26947660_0,C26947660_0,C26947660,CCPANCYSEDJEPB-UHFFFAOYSA-N,O=[N+]([O-])Nc1nncs1,"Not specified, most likely a prism, grating, or hybrid spect",625.5317019466547,4982.561036372696,2050,4,False,False,TRANSMISSION,confirm,626.0,4000.0
C27047627_0,C27047627_0,C27047627,FPMGZVWNTSTEOW-UHFFFAOYSA-N,O=C(NCCCl)NC1CCSc2ccccc21,PERKIN-ELMER 521 (GRATING),258.0,4016.85,3743,2,False,False,TRANSMISSION,confirm,400.0,4000.0
C27126938_2,C27126938_2,C27126938,CZKHHAOIHXHOSR-UHFFFAOYSA-N,N#Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,DOW KBr FOREPRISM-GRATING,460.0,3800.0,3341,2,False,False,TRANSMISSION,confirm,460.0,3800.0
C27127588_0,C27127588_0,C27127588,RUEKMCCFOHLOMQ-UHFFFAOYSA-N,CCOC(=O)CNC(=O)COc1ccccc1,PERKIN-ELMER 21 (GRATING),643.131,3811.8,2732,2,False,False,TRANSMISSION,confirm,644.0,3810.0
C2715700_0,C2715700_0,C2715700,BKXMJMZKKNIYRD-UHFFFAOYSA-N,CCCCn1cnc2c(N)ncnc21,PERKIN-ELMER 21 (GRATING),601.0,4000.0,3400,2,False,False,TRANSMISSION,confirm,602.0,4000.0
C2716623_0,C2716623_0,C2716623,HULIKQJHXKLBMI-UHFFFAOYSA-N,CCCC(C)Nc1ccccc1,"Not specified, most likely a prism, grating, or hybrid spect",628.6184851551745,4906.771344455349,2120,4,False,False,TRANSMISSION,confirm,630.0,4000.0
C27183433_0,C27183433_0,C27183433,LDDKBZYKNBNGSA-UHFFFAOYSA-N,O=[N+]([O-])c1cccc(COCc2cccc([N+](=O)[O-])c2)c1,DOW KBr FOREPRISM-GRATING,465.0,3800.0,3336,2,False,False,TRANSMISSION,confirm,466.0,3800.0
C271896_1,C271896_1,C271896,IANQTJSKSUMEQM-UHFFFAOYSA-N,c1ccc2occc2c1,DOW KBr FOREPRISM-GRATING,414.961,3803.3,3851,4,False,False,TRANSMISSION,confirm,416.0,3802.0
C2719075_0,C2719075_0,C2719075,NYZGFEVPHFYXKA-UHFFFAOYSA-N,CC(=O)NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],"Not specified, most likely a prism, grating, or hybrid spect",630.9347298022019,4948.045522018803,2024,4,False,False,TRANSMISSION,confirm,632.0,4000.0
