file_id,analysis_id,sample_id,inchikey,smiles_canonical,instrument,x_min,x_max,n_points,resolution,is_multifragment,has_unusual_elements,sampling_procedure,split
9942a0dd-ae20-429d-ac08-89f4bbb46dc2,658861,84129,BWTQRWNXOSDUTK-UHFFFAOYSA-N,CN1CCN(C)C1=NC1CCCc2cccnc21,Shimadzu IRTracer 100,249.7859,4000.433,3890,,False,False,,confirm
99929239-2beb-45e6-b9ed-c3512756e7f0,527361,50187,SQVJCQZWFOKFFX-UHFFFAOYSA-N,CC(C)(C)c1ccnc(P(c2ccccc2)c2ccccc2)c1,IR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
99b0cb8f-47f5-4fc5-948c-e1f3f9b07b5d,634101,78463,IYHBIYUJPQGBCO-UHFFFAOYSA-M,CCCCc1cn(-c2nc3ccccc3n3c(CCCC)cnc23)nn1.[Br][Re].[C-]#[O+].[C-]#[O+].[C-]#[O+],Bruker Alpha ATR,373.96442,3997.453,2559,4.0,True,True,Diamant-ATR,confirm
99bdbac5-d949-444a-83de-6e30a34405ca,636703,78990,XRTKWVHIWCEDFW-UHFFFAOYSA-N,Cc1nc2ccccc2nc1OCCCCCCCCCCCCO[Si](C)(C)C(C)(C)C,YES,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,dev
99c13f6c-d523-4a82-b219-2f90a7a5f179,572693,61471,RANXIKJMWBYSGV-UHFFFAOYSA-N,CC(O)c1ccc(-c2ccc(C(C)O)cc2)cc1,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
99df557e-82f4-451b-ab16-f1e21ce68fb2,572411,61408,GATKPNFMGMTACX-UHFFFAOYSA-N,F[P-](F)(F)(F)(F)F.[Ru+][c]1cc(-c2cc3ccc2CCc2ccc(cc2)CC3)ccc1-c1ccccn1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,"Bruker, model IFS 88",373.96442,3997.453,2559,4.0,True,True,Diamant-ATR,confirm
99df5bd5-f04e-4fc3-a6fe-09335f94d048,612812,73968,QHCWJHQEBKERCS-UHFFFAOYSA-N,Cc1nc2ccccc2nc1CBr,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
99f97d32-9c08-49f4-9025-65bc04221d24,677707,88212,AUWOLMBWHPKJSD-BPWZRWDXSA-M,[Br-].[Br-].[NH3+]CC[n+]1ccc(/C=C/c2cc3ccc2CCc2ccc(cc2)CC3)cc1,FTIR Bruker IFS 88,373.96442,3997.453,2559,4.0,True,False,ATR platinum Diamond 1 Refl,confirm
99fe3c74-9df4-4fbd-b521-cc344e7cf696,501928,44574,QTCQYWXQUYHDDT-UHFFFAOYSA-N,CN1c2ccc(C#Cc3ccc(C(F)(F)F)cc3)cc2C(=O)CC1CCC#N,Bruker ALPHA,399.65625,3996.5625,1765,4.0,False,False,Instrument type and / or accessory,confirm
9a1b2836-fd22-4f8e-8e6a-192c3063c717,636439,78938,UJEHWLFUEQHEEZ-UHFFFAOYSA-N,O=Cc1cnc2ccccc2n1,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
9a1e5cd1-ae1b-41e8-8c53-263f1384ec69,502552,44730,WLARPCSIGDFHLM-UHFFFAOYSA-N,CCCCC1(c2cc(OC)c3cc(Cc4cccnc4)c(=O)oc3c2)CCCCC1,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
9a3eb191-4390-4f01-8a8f-33168e681ae6,603088,71487,FEZUXVAXRREZEP-UHFFFAOYSA-N,COC(=O)c1ccc(-c2cn(-c3cnc4ccccc4n3)nn2)cc1,Bruker Alpha-P ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
9aa54de8-6f01-4027-90c3-4ae1290cb8c6,639086,79526,ZJSFNHZUYTYDFN-UHFFFAOYSA-N,COC(=O)c1ccc2cccc([N+](=O)[O-])c2n1,SHIMADZU IRTRACER-100,249.7859,4000.433,3890,,False,False,,dev
