rule_id,stratum,tier,group,truth_group,wn_min,wn_max,rule_intensity,rule_shape,requires,forbids,prominence,definition,n,n_pos,prevalence,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,LR_pos,LR_pos_lo,LR_pos_hi,LR_pos_boot_lo,LR_pos_boot_hi,LR_neg,LR_neg_lo,LR_neg_hi,underpowered,fp_enriched_groups
SMITH-BR4-BZ-MONO-OOP,main,group,monosubstituted benzene,aromatic_mono,710.0,770.0,any,any,,,0.1,position,1539,344,0.224,325,981,19,214,0.945,0.179,0.249,0.918,1.15,1.11,1.19,,,0.31,0.2,0.49,False,
SMITH-BR4-BZ-MONO-OOP,main,group,monosubstituted benzene,aromatic_mono,710.0,770.0,any,any,,,0.1,+intensity,1539,344,0.224,325,981,19,214,0.945,0.179,0.249,0.918,1.15,1.11,1.19,,,0.31,0.2,0.49,False,
SMITH-BR4-BZ-MONO-OOP,main,group,monosubstituted benzene,aromatic_mono,710.0,770.0,any,any,,,0.1,+shape,1539,344,0.224,325,981,19,214,0.945,0.179,0.249,0.918,1.15,1.11,1.19,,,0.31,0.2,0.49,False,
SMITH-BR4-BZ-MONO-690,main,group,monosubstituted benzene,aromatic_mono,680.0,700.0,any,any,,,0.01,position,1539,344,0.224,317,634,27,561,0.922,0.469,0.333,0.954,1.74,1.63,1.85,,,0.17,0.12,0.24,False,
SMITH-BR4-BZ-MONO-690,main,group,monosubstituted benzene,aromatic_mono,680.0,700.0,any,any,,,0.01,+intensity,1539,344,0.224,317,634,27,561,0.922,0.469,0.333,0.954,1.74,1.63,1.85,,,0.17,0.12,0.24,False,
SMITH-BR4-BZ-MONO-690,main,group,monosubstituted benzene,aromatic_mono,680.0,700.0,any,any,,,0.01,+shape,1539,344,0.224,317,634,27,561,0.922,0.469,0.333,0.954,1.74,1.63,1.85,,,0.17,0.12,0.24,False,
SMITH-BR4-BZ-MONO-690,main,group,monosubstituted benzene,aromatic_mono,680.0,700.0,any,any,,,0.02,position,1539,344,0.224,313,577,31,618,0.91,0.517,0.352,0.952,1.88,1.76,2.02,,,0.17,0.12,0.24,False,
SMITH-BR4-BZ-MONO-690,main,group,monosubstituted benzene,aromatic_mono,680.0,700.0,any,any,,,0.02,+intensity,1539,344,0.224,313,577,31,618,0.91,0.517,0.352,0.952,1.88,1.76,2.02,,,0.17,0.12,0.24,False,
SMITH-BR4-BZ-MONO-690,main,group,monosubstituted benzene,aromatic_mono,680.0,700.0,any,any,,,0.02,+shape,1539,344,0.224,313,577,31,618,0.91,0.517,0.352,0.952,1.88,1.76,2.02,1.68,2.19,0.17,0.12,0.24,False,ether_aryl OR=3.2 (n=7); aromatic_meta OR=2.8 (n=26); alkene_trisubstituted OR=2.5 (n=26)
SMITH-BR4-BZ-MONO-690,main,group,monosubstituted benzene,aromatic_mono,680.0,700.0,any,any,,,0.05,position,1539,344,0.224,309,452,35,743,0.898,0.622,0.406,0.955,2.37,2.19,2.57,,,0.16,0.12,0.22,False,
SMITH-BR4-BZ-MONO-690,main,group,monosubstituted benzene,aromatic_mono,680.0,700.0,any,any,,,0.05,+intensity,1539,344,0.224,309,452,35,743,0.898,0.622,0.406,0.955,2.37,2.19,2.57,,,0.16,0.12,0.22,False,
