id,index,status,phase,state_text,bytes
C79005,6,ok,gas,gas,247223
C79005,7,ok,gas,gas,496517
C79005,8,ok,gas,gas,31354
C115208,0,ok,gas,gas,4853
C115208,1,end,,,0
C302170,0,ok,gas,gas,4058
C302170,1,ok,condensed,SOLUTION SATURATED (CS2 FOR 2-15 microns),32182
C302170,2,ok,condensed,SOLID (NUJOL MULL),32227
C302170,3,end,,,0
C75683,0,ok,gas,gas,4013
C75683,1,ok,gas,"GAS (50 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32311
C75683,2,end,,,0
C75365,0,ok,gas,"GAS (100 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32713
C75365,1,ok,condensed,"SOLUTION (10% IN CCl4 FOR 4000-1320 CM^-^1, 10% IN CS2 FOR 1320-600 CM^-^1)",49866
C75365,2,end,,,0
C79118,0,ok,condensed,"SOLUTION (11% IN CCl4 FOR 3800-1300, 4% IN CS2 FOR 1300-645, AND 11% IN CCl4 FOR 645-250 CM^-^1)",37187
C79118,1,ok,condensed,"SOLUTION (1% CCl4 FOR 3800-1330, 1% CS2 FOR 1330-400 CM^-^1)",33156
C26555408,0,ok,gas,gas,14899
C26555408,1,end,,,0
C867492,0,ok,condensed,LIQUID,18226
C867492,1,end,,,0
C75025,0,ok,gas,gas,4816
C75025,1,end,,,0
C75898,0,ok,gas,gas,4075
C75898,1,ok,condensed,LIQUID (NEAT),32512
C75898,2,end,,,0
C75058,0,ok,gas,gas,4633
C75058,1,ok,gas,"GAS (80 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32978
C75058,2,ok,condensed,LIQUID (NEAT),38195
C75058,3,ok,gas,gas,34638
C75058,4,ok,gas,gas,67996
C75058,5,ok,gas,gas,134970
C75058,6,ok,gas,gas,261779
C4005510,0,ok,condensed,SOLID (KBr PELLET),19130
C4005510,1,end,,,0
C7552070,0,ok,condensed,SOLID (KBr PELLET),19167
C7552070,1,end,,,0
C2349679,0,ok,condensed,SOLID (KBr PELLET),19299
C2349679,1,end,,,0
C556616,0,ok,gas,gas,3975
C556616,1,ok,condensed,SOLID (MINERAL OIL MULL),21153
C556616,2,end,,,0
C556649,0,ok,gas,gas,4725
C556649,1,end,,,0
C74851,0,ok,gas,GAS (150 mmHg DILUTED TO A TOTAL PRESSURE OF 600 mmHg WITH N2),34315
C74851,1,ok,gas,gas,31267
C74851,2,ok,gas,gas,61849
C74851,3,ok,gas,gas,122940
C106934,0,ok,gas,gas,4130
C106934,1,ok,gas,"GAS (10 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32367
C106934,2,end,,,0
C557915,0,ok,unknown,,598
C557915,1,end,,,0
C107040,0,ok,gas,gas,4188
C107040,1,ok,condensed,"SOLUTION (10% CCl4 FOR 2.6-7.5, 10% CS2 FOR 7.5-26 MICRON)",33206
C107040,2,end,,,0
C593964,0,ok,gas,gas,13083
C593964,1,end,,,0
C683578,0,ok,gas,gas,14187
C683578,1,end,,,0
C107062,0,ok,gas,gas,4589
C107062,1,ok,gas,"GAS (50 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32702
C107062,2,ok,unknown,TRANSMISSION,12984
C107062,3,ok,gas,gas,31170
C107062,4,ok,gas,gas,61559
C107062,5,ok,gas,gas,122425
